id,first_node_id,second_node_id,length_in_meters
3619,2904,1746,13.57919522
558,173,1750,4.803945153
563,1300,1605,5.493174718
575,1718,341,9.312520317
576,176,1300,5.616616846
3387,2757,2758,8.455785802
3388,2758,1557,5.863501103
3389,1280,2757,7.715133031
3390,2767,1280,6.604153874
3394,2759,1551,4.999787184
3395,1282,2797,6.912759195
3396,346,2784,9.134717508
3409,2786,1551,4.011869176
3410,422,2788,8.332343673
3411,348,2792,6.172106425
3412,348,2793,4.93768514
3413,2790,348,8.270622609
3437,2801,270,11.60372423
3620,1570,2904,11.0487601
3623,2762,2907,14.01068158
3624,2908,716,12.71453923
3625,2906,1768,17.83738757
3626,1573,2906,17.83738757
3627,2907,2908,14.56617116
3628,2769,2913,12.65296871
3630,2911,2761,12.09732859
3631,2912,2774,12.03560753
3632,2913,2767,11.97388646
3414,2790,422,8.085459416
3415,2793,2794,9.258159637
3416,2782,1718,9.628486022
3425,530,2805,7.036201324
3443,2807,530,4.875964075
3444,2827,526,7.221364517
3445,175,2813,4.629491274
3446,526,2815,7.159643452
3447,2815,342,6.604153874
3449,2825,2814,7.345843901
3450,1537,2814,8.332343673
3451,1537,2816,6.172106425
3452,2816,1536,12.40593391
3460,537,2821,6.233827489
3464,2812,175,5.555238666
3465,2819,2812,4.999406204
3467,537,2819,5.061127268
3468,2822,537,6.604442284
3469,1749,2823,7.653411966
3470,2823,536,6.357569227
3471,536,2811,7.283085581
3472,2811,2827,8.270622609
3473,2817,2821,9.258159637
3474,2829,176,4.999406204
3637,1764,2867,7.283085581
3638,1109,2910,15.86243359
3639,2910,2775,15.55383065
3640,1109,1103,17.71405297
3641,130,2916,10.92462837
3642,2916,2917,15.24522781
3643,2917,2870,11.9121654
3644,2921,193,9.628486022
3645,2856,2921,10.36932249
3649,2923,719,9.937091344
614,640,641,7.344806645
616,643,642,7.098190736
618,640,642,7.468248774
631,331,338,8.332343673
642,1772,1715,8.888047558
3350,2766,270,12.22092658
3491,41,2838,8.57922793
3496,2841,2835,9.381804793
3499,1219,2846,5.616955963
3500,2846,2843,11.35684354
3502,2842,1218,6.542723941
3503,1219,2842,6.542723941
3504,1542,2845,5.863501103
3505,2843,1542,5.616955963
3506,2844,2756,7.653660838
3507,1542,2844,5.246653513
3508,1219,2847,5.369732589
3510,978,2850,7.529969838
3511,2849,978,5.925222168
3512,1541,2849,6.54243281
3513,2851,1769,12.46765498
3514,1716,2851,6.418990682
3650,2919,2869,7.838575159
3683,2795,2940,6.727596003
3684,2940,2796,7.283347106
3685,2941,2791,13.76379733
3686,2792,2941,13.20830775
3703,2948,2887,7.653411966
3704,2948,2884,9.44332283
3705,2952,2781,8.579449945
3706,2779,2953,8.57922793
3707,2953,2778,8.332343673
3708,2954,528,7.283085581
3709,2810,2954,7.900296223
3710,2780,2952,8.887833251
3555,2871,427,11.85044434
3556,639,2871,7.900537318
3557,2872,1604,12.89970243
3558,2872,1605,6.172106425
3559,918,2873,7.838575159
3560,289,2874,7.468248774
3562,2878,289,6.481887278
3563,2890,1300,8.887833251
3564,2890,338,8.208901545
3565,338,2889,4.752521947
3566,2889,418,15.7389924
3567,841,2875,5.308011525
3569,2877,289,6.110697075
3570,2873,274,9.01127538
3571,841,2881,5.369732589
3572,841,2882,5.616616846
3575,2879,809,4.50563769
3576,809,2880,6.54243281
3711,1544,2956,6.480711746
3712,2956,2955,7.159909487
3713,2845,2955,8.640948994
3714,2888,2963,14.68974296
3352,2756,1110,4.506060417
3353,1279,2769,7.345843901
3531,1099,2859,3.703778161
3541,129,2866,6.048664296
3544,1624,2862,3.703263855
3547,2864,1624,5.554895782
3548,2861,194,4.259200664
3549,2862,2861,10.43085986
3550,194,2865,4.629491274
3551,1624,2863,5.061127268
3552,1099,2869,3.209495341
3715,2962,2883,15.12166074
3716,2886,2962,14.93649755
3717,274,2959,11.60356008
3718,2961,922,7.159643452
3733,2826,2969,15.24522781
3734,2974,2876,8.023738352
3735,1771,2974,8.57922793
3736,2973,1771,9.998812408
3737,2971,2880,8.764391123
3738,2970,2971,11.17151263
3739,1772,2970,10.61620247
3740,2881,2975,7.159643452
3741,2975,2879,6.851038131
3742,1646,2972,10.1839756
3743,2972,2973,10.30741773
3744,1547,2976,21.23213581
3745,2976,495,10.36987354
3747,2977,23,9.01127538
3748,1547,2799,15.86231351
3749,1747,2968,13.94896052
3750,2968,1755,11.78872327
262,1755,44,11.48028387
3434,2810,531,5.678673341
3439,2809,23,8.085459416
3441,2805,344,6.727596003
